queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,1,6,a
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,1,6,b
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,1,6,c
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,2,6,a
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,2,6,b
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,2,6,c
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,3,6,a
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,3,6,b
queueT,Kyle and Ethan do a README csv,1,1,RunTheThing,3,3,6,c
....
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,1,2,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,1,2,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,1,2,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,2,2,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,2,2,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,2,2,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,3,2,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,3,2,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,1,3,2,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,1,4,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,1,4,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,1,4,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,2,4,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,2,4,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,2,4,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,3,4,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,3,4,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,2,3,4,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,1,6,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,1,6,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,1,6,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,2,6,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,2,6,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,2,6,c
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,3,6,a
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,3,6,b
queueT,Kyle and Ethan do a README csv,1,99,RunTheThing,3,3,6,c
;#Scan finished at (whenever scan finished)

;//
;To run any additional scans, simply add an additional set of parameters with a new purpose like below. This will overwrite the original set of params set above and will only run the last list.
;//

;purpose = "Kyle and Ethan do a README csv part 2"

;parameters = { 
;"a #first" : 300, 
;"a #second" : 1,

;"fake_function #first" : [100],
;"b" : [np.arange(100)],
;"c" : ["'RunTheThing'"], 
;"d" : [1,2,3],
;"fake_function #second" : [90], 

;"e" : [[1,2,3]],

;"f" : [[[2*"d"]]]
;"g" : [[["'a'", "'b'", "'c'"]]]
;}  



; add something about where its saved and when its done
